id,title,author,isbn,annual circs
455,The girl in blue /,"Wodehouse, P. G.",9780671208028,1
456,The girl who heard dragons /,"McCaffrey, Anne.",9780312931735,1
458,The Gladstone bag :,"MacLeod, Charlotte.",9780892963706,1
459,The go-carts /,"Randell, Beverley,",9780763541491,1
460,The go-carts /,"Randell, Beverley,",9780763541491,1
461,The go-carts /,"Randell, Beverley,",9780763541491,1
462,The god of small things /,"Roy, Arundhati.",9780679457312,1
463,The god of small things /,"Roy, Arundhati.",9780679457312,1
464,Going to school /,"Cowley, Joy",9780868671796,1
465,Going to school /,"Cowley, Joy",9780868671796,1
466,Going to the dentist /,"Rogers, Fred.",9780399216367,1
467,Going to the potty /,"Rogers, Fred.",9780399212963,1
468,The golden compass /,"Pullman, Philip,",9780679879244,1
469,The golden egg book /,"Brown, Margaret Wise,",9780307135025,1
470,Golem /,"Wisniewski, David.",9780395726181,1
471,Good enough to eat :,"Rockwell, Lizzy.",9780060274344,1
472,Good enough to eat :,"Rockwell, Lizzy.",9780060274344,1
473,"Good night, Baby Bear /","Asch, Frank.",9780152008369,1
475,"The good, the bad, and the goofy /","Scieszka, Jon.",9780670843800,1
476,"Goodnight, Irene / ","Burke, Jan.",9780671782009,1
477,Goodwood handbook /,"Jackson, A.",9781558704275,1
478,Goody O'Grumpity /,"Brink, Carol Ryrie,",9781558583276,1
479,The Gospel according to the Son /,"Mailer, Norman",9780679457831,1
480,The Gospel of life :,,9780812926712,1
