title,author,isbn,count
"The forgotten :","Kellerman, Faye.","0688156142 (acidfree paper) | 9780688156145 (acidfree paper)",1
"Moon music :","Kellerman, Faye.","0688143695 (alk. paper)",1
"Tombquest #2 :","Northrop, Michael.",9780545723398,1
"A God in ruins.","Uris, Leon,",0060183772,1
"Carolina moon /","Roberts, Nora.","0399145923 (acidfree paper)",1
Empire.,,,1
"Good housekeeping.",,,1
"An obedient father /","Sharma, Akhil,","0374105014 (alk. paper)",1
"Ms. Marvel.","Wilson, G. Willow,","9780785190226 | 0785190228 | 9781480683891 | 1480683892",1
"Artemis Fowl :","Colfer, Eoin.","9780786852895 : | 0786852895 :",1
"Conversations with myself /","Mandela, Nelson,","9781410434210 : | 1410434214 :",1
"The secret pilgrim /"," Le Carré, John,",,1
"Strangled prose /","Hess, Joan.","0312764286 :",1
"The man with a load of mischief /","Grimes, Martha.","0316328804 :",1
"The girl in the spider's web /","Lagercrantz, David,","9780553550719 : CMD | 0553550713 : CMD",1
"Murder on Amsterdam Avenue /","Thompson, Victoria","9780425260470 : HRD | 042526047X : HRD",1
"Still life with bread crumbs :","Quindlen, Anna.","9781400065752 : HRD | 14000657",1
"Hieronymus Betts and his unusual pets /","Robertson, M. P.","1845072898 :",1
"Pet show! /","Keats, Ezra Jack.","0020440707 :",1
"Windmill dragons :","Nytra, David,","9781935179887 : HRD | 1935179888 : HRD",1
"Celebrity detox :","O'Donnell, Rosie.","9780446582247 : | 0446582247 :",1
"NurtureShock :","Bronson, Po,","9780446504126 : | 0446504122 :",1
"The private world of Tasha Tudor /","Tudor, Tasha.",0316112925,1
"How the stars fell into the sky :","Oughton, Jerrie.",0395587980,1
"Hank finds an egg /","Dudley, Rebecca,","9781441311580 : | 1441311580 :",1
"The dancing tiger /","Doyle, Malachy.","0670060208 :",1
"Elizabeth, queen of the seas /","Cox, Lynne,","9780375858888 (hbk.) | 0375858881 (hbk.) | 9780375958885 (glb) | 0375958886 (glb)",1
"A Tooth fairy's tale /","Christiana, David.",0374376778,1
"New England bound :","Warren, Wendy","9780871406729 : HRD | 0871406721 : HRD",1
"Puppet /","Fielding, Joy.","0743488008 | 0743488016 (pbk.)",1
"Run the risk /","Frost, Scott.","0399152482 :",1
"The lion and the bird /","Dubuc, Marianne,","9781592701513 : HRD | 1592701515 : HRD",1
"Nicky and the big, bad wolves /","Gorbachev, Valeri.","1558589171 (trade) | 155858918X (lib.)",1
"A fierce radiance :","Belfer, Lauren.","9780061252518 | 0061252514",1
"The pros & cons of being a frog /","DeGennaro, Sue,","9781481471305 : SAL | 1481471309 : SAL",1
"Butterfly & moth",,,1
"Sky high /","Zullo, Germano.","9781452113920 : SAL | 14521139",1
"One gorilla :","Browne, Anthony,","9780763663520 : | 0763663522",1
"Burning angel /","Burke, James Lee,","0783814925 (lg. print : hc : alk. paper)",1
"Hit list /","Block, Lawrence.","0060199113 (pbk.) :",1
"Black notice /","Cornwell, Patricia Daniels.",0375408452,1
"Pagan babies /","Leonard, Elmore,",0375430865,1
"Eight black horses :","McBain, Ed,",0816140227,1
"Dust to dust /","Hoag, Tami.",0375430784,1
"The burglar in the rye :","Block, Lawrence.","0525945008 (alk. paper)",1
"Discovery girls (ceased publication).",,,1
"Beware the ninja weenies and other warped and creepy tales /","Lubar, David.","9780765332134 (hbk.) | 0765332132 (hbk.) | 9781429946735 (ebk.) | 1429946733 (ebk.)",1
"The love of my youth / ","Gordon, Mary,","9780307377425 : | 0307377423 :",1
"The collected essays, journalism and letters of George Orwell /","Orwell, George,","0436350181 v1.",1
"The collected essays, journalism and letters of George Orwell /","Orwell, George,","0436350181 v1.",1
"The collected essays, journalism and letters of George Orwell /","Orwell, George,","0436350181 v1.",1
"Harry Potter and the Half-Blood Prince /","Rowling, J. K,","0545582997 : PAP | 97814806150",1
"Sharpe's challenge",,1419838156,1
"The divide / ","Evans, Nicholas, ",0399152067,1
"The last song /","Sparks, Nicholas.","0446547565 | 9780446547567",1
"Talking leaves ","Bruchac, Joseph,","9780451485717 | 0451485718 | 9780451485694 | 0451485696",1
"The goodbye body /","Hess, Joan.","0312313047 :",1
"Sharpe's peril",,"9781419887413 : | 1419887416 :",1
"The food lover's cleanse :","Dickerman, Sara","0062390236 | 9780062390233",1
"Dubliners /","Joyce, James,","0679600493 | 9780679600497",1
"How to improve at playing guitar /","Clark, Tom,","9780778735786 (reinforced lib.",1
"The patient's playbook :","Michelson, Leslie D.,","9780147521644 | 0147521645 | 9780147521620 | 0147521629",1
"The devil's cold dish /","Kuhns, Eleanor,","9781250093356 : HRD | 125009335X : HRD",1
"Have you seen? /","Beck, Jennifer.","0790111519 (pbk.)",1
"The go-carts /","Randell, Beverley,",0763541494,1
"Who likes the cold? /","Williams, Rebel.",,1
"Jane's car /","Randell, Beverley.","0435067257 (pbk.)",1
"The chase /","Root, Phyllis.","0763610224 (pbk.)",1
"Cat bath /","Root, Phyllis.","0763610259 (pbk.)",1
"Wicked :","Maguire, Gregory.","0060987103 (pbk.) :",1
"You, raising your child :","Roizen, Michael F.","9781439109489 : | 1439109486 :",1
"Dream wedding /","Mallery, Susan.","9780373778416 (pbk.) | 0373778414 (paperback)",1
"Wild indigo /","Ault, Sandi.","0425213692 :",1
"A Christmas bride /","Mallery, Susan.","9780373778027 | 0373778023",1
"All things wise and wonderful /","Herriot, James.","0312020317 :",1
"Every living thing /","Herriot, James.","031208188X (hardcover) :",1
"Shatterglass /","Pierce, Tamora.","0590396838 :",1
"Life of Pi",,,1
"Fortune smiles :","Johnson, Adam,","9780812997477 : HRD | 0812997476 : HRD",1
"Illuminate ","Mendes, Shawn,",,1
"The underdogs /","Hammel, Sara,","9780374301613 : HRD | 0374301611 : HRD",1
"Better :","Gawande, Atul,","0805082115 :",1
"MAD magazine",,,1
"The last descendants /","Kirby, Matthew J.,","9780545855518 : PAP | 0545855519 : PAP",1
"The British Empire in color",,,1
"Dynasty :","Elegant, Robert S.",0070191727,1
"The Fractured Republic :","Levin, Yuval,","9780465061969 : HRD | 0465061966 : HRD",1
"I have a dream /","King, Martin Luther,","9780375858871 : | 0375858873 :",1
"You are stardust /","Kelsey, Elin.","9781926973357 : | 1926973356 :",1
"Mission--addition /","Leedy, Loreen.","0823413071 (lib. bdg.) | 9780823413072 (lib. bdg.)",1
"The color of hope /","Madison, Susan.",0312251866,1
"The little Russian /","Sherman, Susan.","9781582437729 : | 1582437726 :",1
"The nice and the good.","Murdoch, Iris.",,1
"Cold snap /","Spinelli, Eileen.","9780375857003 : | 0375857001 :",1
"Golden Riders /","Cotton, Ralph W.,","9780451465948 (paperback) | 0451465946 (paperback)",1
"True to form","Berg, Elizabeth.","0743453123 :",1
"Jim Henson :","Jones, Brian Jay.","9780345526113 (hardback) : | 0",1
"The Jolly Roger Social Club","Foster, Nick,","9781504730426 | 1504730429 | 1504730402 | 9781504730402",1
"Those who leave and those who stay /","Ferrante, Elena,","160945233X | 9781609452339",1
"Heartbreaker /","Garwood, Julie.",0671032992,1
"The monkey's voyage :","De Queiroz, Alan.","9780465020515 : HRD | 04650205",1
"The wild trees :","Preston, Richard,","9781400064892 : | 1400064899 :",1
"Pandemic :","Shah, Sonia.","9780374122881 : HRD | 0374122881 : HRD",1
"Brain on fire :","Cahalan, Susannah.","9781451621372 | 145162137X | 9",1
"Unstuck :","Gordon, James S.","9781594201660 : | 1594201668 :",1
"The Wikkeling /","Arntson, Steven,","9780762439034 : | 0762439033 :",1
"Cesar's way :","Millan, Cesar.","0307337332 :",1
Cranford,,,1
"Heart of gold /","Brooke, Lauren.","0439738563 (pbk.) :",1
"American girl.",,,1
"Country wisdom almanac :",,"9781579127749 | 1579127746",1
"Fields of blood","Armstrong, Karen,","9780553545463 (Books on Tape) : | 0553545469 (Books on Tape) | 9780553399295 (Random House Audio) : | 0553399292 (Random House Audio)",1
"Greek literature for the modern reader.","Baldry, H. C.",,1
"Say please! :","Flanagan, Alice K.","1592961584 (Library Bound : al",1
"MacGillivray Freeman's coral reef adventure /",,,1
"Winter according to Humphrey /","Birney, Betty G.","9780142427590 (pbk.) | 0142427594 (pbk.)",1
"Fatty legs :","Jordan-Fenton, Christy.","9781451767131 : PBD | 1451767137 : PBD",1
"Miss Hickory,","Bailey, Carolyn Sherwin,",,1
"J.K. Lasser's your income tax /",,,1
"Frommer's Paris 2013 /","Brooke, Anna E./ Heise, Lily/ Nellis, Sophie/ Van Den Boogert, Kate","9781118287644 : PAP | 11182876",1
"A week in winter /","Binchy, Maeve.","9780307273574 (hardback) | 030",1
"Colvin & Earle ","Colvin, Shawn.","9786316508805 : CD | 6316508808 : CD",1
"In the cards ","DeLong, Robert","9786316199935 : CD | 6316199937 : CD",1
"American teacher",,,1
"The poems of Sir Walter Scott /","Scott, Walter,",,1
