id,title,author,isbn,annual circs
251,Forged in battle :,"Glatthaar, Joseph T.,",9780029118153,22
252,The thyroid sourcebook :,"Rosenthal, M. Sara.",9780737304954,74
253,On display :,"Dilcock, Lesley.",9781841722740,41
254,African-American inventors /,"McKissack, Pat,",9781562944681,39
256,"'46, Chicago /","Monroe, Steve,",9780786867318,22
257,Where do babies come from? /,"Royston, Angela.",9780789405791,61
259,Bad business :,"Parker, Robert B.,",9780399151453,64
261,The complete idiot's guide to knitting and crocheting /,"Diven, Gail.",9780028621234,128
262,The avengers /,"Cohen, Rich.",9780375405464,28
263,Math equals :,"Perl, Teri.",9780201057096,10
264,The bawdy basket /,"Marston, Edward.",9780312285012,31
265,In the kingdom of mists /,"Jakeman, Jane.",9780425195123,32
266,Green beans /,"Thomas, Elizabeth,",9780876147085,116
268,The Lions of Lucerne /,"Thor, Brad.",9780743436731,129
269,American art pottery /,"Rago, David.",9781577150145,42
270,The pursuit /,"Lindsey, Johanna.",9780380978557,82
271,G is for googol :,"Schwartz, David M.",9781883672584,39
273,Hurricane Bay /,"Graham, Heather.",9781551668970,63
274,Healing ADD :,"Amen, Daniel G.",9780399146442,10
275,To catch a king :,"Higgins, Jack,",9780812826760,43
276,New Cardiff /,"Webb, Charles Richard,",9780743444163,20
277,Night falls like silk /,"Eagle, Kathleen.",9780066214702,26
278,Noir /,"Jeter, K. W.",9780553104837,27
279,Tea from an empty cup /,"Cadigan, Pat,",9780312866655,25
280,The devil's novice :,"Peters, Ellis,",9780688032470,43
281,Oona :,"Scovell, Jane,",9780446517300,25
282,The president's daughter /,"Chase-Riboud, Barbara.",9780517598610,35
283,20th century glass /,"Cousins, Mark.",9781573353120,14
284,"Vocabulary improvement: a program for self-instruction,","Davis, Nancy B.",9780070155145,37
285,Our father :,"French, Marilyn,",9780316293907,55
287,Brown :,"Rodriguez, Richard.",9780670030439,9
289,Liar :,"Burke, Jan.",9780684803456,79
290,The brass dolphin /,"Trollope, Joanna.",9780670885183,39
291,"Sara Kate, superkid /","Pfeffer, Susan Beth,",9780805031478,88
293,The golden age :,"Vidal, Gore,",9780385500753,5
294,Rumpelstiltskin;,"Tarcov, Edith.",9780590073936,31
295,Ransom /,"Steel, Danielle.",9780385336321,41
296,Grow your business /,"Henricks, Mark.",9781891984204,20
297,The legend of Red Horse Cavern.,"Paulsen, Gary",9780440410232,56
298,Birthday party murder :,"Meier, Leslie.",9781575668321,78
299,Fault lines /,"Salter, Anna C.",9780671003128,35
300,Steal away /,"Clark, Katharine.",9780449002766,50
301,Beetles /,"Squire, Ann.",9780516226583,69
302,Beautiful easy flower gardens :,"Sombke, Laurence.",9780875967004,104
303,The good life /,"Bennett, Tony,",9780671024697,3
304,Teacher /,"Edmundson, Mark,",9780375504075,53
305,"Nightmare at 20,000 feet :","Matheson, Richard,",9780312878276,23
306,First among equals /,"Archer, Jeffrey,",9780671504069,115
307,Speaking with the angel :,,9781573228589,59
308,In pursuit of the proper sinner /,"George, Elizabeth,",9780553102352,55
309,Why she went home :,"Rosenfeld, Lucinda.",9781400061853,25
310,You never can tell ,"Eagle, Kathleen.",9780066209609,63
311,Ender's shadow /,"Card, Orson Scott.",9780312868604,48
312,The Honk and Holler opening soon /,"Letts, Billie.",9780446521581,98
313,Death at the spring plant sale /,"Ripley, Ann.",9781575667799,53
314,My first cousin once removed :,"Stuart, Sarah Payne.",9780060176891,16
315,The haunting of L. /,"Norman, Howard A.",9780374168254,17
317,Miles Davis /,"Frankl, Ron.",9780791021569,14
318,The complete guide to sharpening /,"Lee, Leonard,",9781561580675,34
321,Shadow account /,"Frey, Stephen W.",9780345457585,42
323,The corporal works of murder /,"O'Marie, Carol Anne.",9780312209179,31
324,The troublesome offspring of Cardinal Guzman :,"De Bernieres, Louis.",9780688125837,22
325,Bagombo snuff box :,"Vonnegut, Kurt.",9780399145056,5
326,Rain fall /,"Eisler, Barry.",9780399149108,69
327,Tales of the dead /,,9780517618189,16
328,"Guilt is the teacher, love is the lesson /","Borysenko, Joan.",9780446514651,44
329,The dew breaker /,"Danticat, Edwidge,",9781400041145,47
330,Open house :,"Berg, Elizabeth.",9780375501005,13
331,Goodbye Tsugumi :,"Yoshimoto, Banana,",9780802116383,25
332,Smoker /,"Rucka, Greg.",9780553107166,40
